scenario,search_stage,glucose,ammonium,phosphate,sulfate,oxygen_bound,temperature,pH,mixing,growth,fba_growth,fva_range,log_volume,anisotropy_log,flux_std,biomass_flux_mean,biomass_std,glucose_uptake,oxygen_uptake,ammonium_uptake,phosphate_uptake,sulfate_uptake,ethanol_excr,acetate_excr,formate_excr,d_lactate_excr,l_lactate_excr,succinate_excr,pyruvate_excr,citrate_excr,oxalate_excr,malate_excr,biomass_yield,byproduct_mean,byproduct_total,clean_score,growth_norm,biomass_norm,yield_norm,byproduct_penalty_norm,overall_rank_score
12,explore,20.0,8.0,4.0,3.0,1000.0,32.0,6.5,high,2.7613152684148323,2.7613152684148323,362.8211811900731,-42297.02874856755,41.36890613441182,71.2426614259849,0.7095039753412375,0.07190730254536058,20.0,1000.0,8.0,4.0,3.0,0.18003125802840564,1.5320180994295842,5.570691460004615,0.1588754095673402,0.14618612734749953,0.29195781010115107,0.24171211484775015,0.5248999292796569,2.442436519141127,0.2919222103119389,0.13806576342074162,1.138073093805907,11.380730938059068,0.22303329926397097,0.9999999999999981,0.9938764683940955,1.0,0.9796619543880847,0.5055874330626934
19,explore,20.0,5.0,3.0,2.0,1000.0,33.0,6.4,high,2.7613152684148323,2.7613152684148323,362.81910106680647,-42248.496732217114,41.357605595387284,71.25817442507008,0.7101648668513113,0.07227221751361183,20.0,1000.0,5.0,3.0,2.0,0.182364128903912,1.5556942003979242,5.636714416202246,0.1639079950085091,0.14450457073253836,0.2862190156860986,0.252262887121599,0.513426085340569,2.445432210847532,0.2938184905358095,0.13806576342074162,1.1474344000776737,11.474344000776737,0.2213595575240585,0.9999999999999981,0.9951459703066988,1.0,0.9914294696639988,0.5017861781942743
5,explore,20.0,2.0,1.0,1.0,1000.0,28.0,5.8,high,2.7613152684148363,2.7613152684148363,362.46524255504295,-42293.468390352966,41.35503013736445,71.18358799525794,0.7126918319406116,0.07307591499327082,20.0,1000.0,2.0,1.0,1.0,0.17652326130666637,1.5267907877066336,5.748838463757038,0.1640094376607881,0.14889026973739902,0.2834953942698551,0.2432981457042698,0.506688204109361,2.451825544709048,0.29216486592659746,0.1380657634207418,1.1542524374887655,11.542524374887655,0.2201562608834531,1.0,1.0,1.0,1.0,0.5000000000000001
14,explore,18.0,3.0,1.0,1.0,1000.0,31.0,6.4,low,2.485183741573353,2.485183741573353,364.05354368563354,-42317.402960105814,41.357022485502426,71.17697631859545,0.6490660892619549,0.06620961953393824,18.0,1000.0,3.0,1.0,1.0,0.16015104163773927,1.333881707103509,5.564141568912832,0.1410221775059416,0.13056493971598845,0.2556788598009155,0.2132359671383057,0.4608109046947228,2.1580258625728854,0.2615910858564575,0.13806576342074184,1.0679104114939297,10.679104114939298,0.21278890205237885,0.8666666666666668,0.8777817526928895,1.0,0.891464814807749,0.454099419657177
6,explore,18.0,3.0,2.0,1.5,1000.0,31.0,6.4,low,2.4851837415733526,2.4851837415733526,364.3171776969977,-42347.43377891378,41.3609083087999,71.20533860961375,0.6438447131627909,0.06627519087622236,18.0,1000.0,3.0,2.0,1.5,0.1574716368596072,1.3762017586400572,5.511455968653978,0.14155670207103532,0.1332255052680179,0.2569855016856089,0.21273389723270283,0.4595408312380693,2.141585261886797,0.2625419542593335,0.1380657634207418,1.0653299017795208,10.653299017795208,0.21326010237773396,0.8666666666666666,0.8677520476001878,1.0,0.8882210167092363,0.452727322718481
22,explore,16.0,3.0,2.0,1.5,1000.0,32.0,6.3,low,2.2090522147318685,2.2090522147318685,365.81691072164193,-42377.30641961802,41.36302911598672,71.19239576077881,0.5788725786469038,0.05890611598016621,16.0,1000.0,3.0,2.0,1.5,0.1430193166543287,1.1970890553610993,5.254866131242861,0.1272297509118748,0.11737705539845925,0.2306059685327775,0.18006450621791564,0.3982544984205494,1.8997759787307968,0.23030008517072928,0.13806576342074178,0.9778582346641391,9.778582346641391,0.20494830801382796,0.7333333333333331,0.7429475255620147,1.0,0.7782658299962129,0.40667717422516253
4,explore,15.0,8.0,4.0,3.0,1000.0,32.0,6.5,high,2.070986451311128,2.070986451311128,366.5705137516834,-42450.909556463084,41.35778939836691,71.17711503734196,0.5479234697962636,0.055423863766700054,15.0,1000.0,8.0,4.0,3.0,0.1331937593013421,1.1035768153089904,5.059499503218025,0.11426559607325304,0.11075830403123973,0.21400833547828282,0.1729138360795079,0.3744077380890791,1.764595491819666,0.20722082795334962,0.13806576342074187,0.9254440207352737,9.254440207352737,0.20195997143034386,0.6666666666666671,0.6834975972751882,1.0,0.7123791849942074,0.3882083512374913
17,explore,15.0,4.0,2.0,2.0,1000.0,32.0,6.1,medium,2.070986451311128,2.070986451311128,366.5672009627774,-42416.75013600997,41.371154155253635,71.22773221665155,0.5473758544134144,0.055308787556242744,15.0,1000.0,4.0,2.0,2.0,0.13400056658287,1.0823206919219515,5.090445320287012,0.115544896626425,0.10904057568095354,0.21597232451284065,0.1816386446614079,0.3784145527360077,1.7581695330224079,0.21127936507874867,0.13806576342074187,0.9276826471110626,9.276826471110626,0.20152003705938948,0.6666666666666671,0.6824456866888039,1.0,0.7151932228335215,0.38696046034713527
7,explore,15.0,2.0,4.0,3.0,1000.0,33.0,6.3,high,2.070986451311128,2.070986451311128,366.56797137880204,-42417.72385857717,41.36473254283044,71.18704049167901,0.5475436429659769,0.05518077979306366,15.0,1000.0,2.0,4.0,3.0,0.1312961173718952,1.1085395506725892,5.144313307846608,0.11339033396922937,0.10939094692092499,0.20868898363558605,0.17759949017442536,0.36980678559057034,1.7405548479827149,0.21267971198078095,0.13806576342074187,0.9316260076145324,9.316260076145324,0.20074973256053788,0.6666666666666671,0.6827679905543313,1.0,0.7201501758073782,0.38530610277266736
21,explore,14.0,7.0,3.0,2.5,1000.0,31.0,6.2,medium,1.9329206878903855,1.9329206878903855,367.3191475983661,-42477.35697393082,41.35837299559884,71.2244540575702,0.5148279370973139,0.05176015017931445,14.0,1000.0,7.0,3.0,2.5,0.12183569782499507,1.00325361131825,4.925478209945302,0.10510058152434558,0.10147276569674753,0.1963931732768073,0.16800259693305378,0.3366202706919626,1.6269916384993939,0.19751697166106627,0.1380657634207418,0.8782665517371925,8.782665517371925,0.19758630042680406,0.6000000000000001,0.619924618322478,1.0,0.6530753260030518,0.3664047904795515
