label,model_dir,template_name,template_source,reactions,metabolites,genes,exchanges,baseline_objective_value,theoretical_biomass_reaction,theoretical_bio2_rate,theoretical_yield_proxy,preset_best_condition,preset_best_rate,custom_condition,custom_rate,validation_dead_end_metabolites,validation_added_boundaries
Core Template,data/models/template_core_mvp_compare,template_core,builtin,9,27,0,3,0.0,bio2,21.44703119470687,0.004170091354191296,Full Precursor Set,0.0,compare_custom,0.0,23,21
Fungal Template,data/models/fungi_template_mvp_compare,fungi,local,21,91,0,5,0.0,bio1,16.666666666666664,0.003317559669795195,Full Precursor Set,0.0,compare_custom,0.0,52,45
